Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,222058.8594,223427.91205689532,-1369.0526568953355
4.725,221830.375,222662.55670771896,-832.1817077189626
4.745,221067.0469,221904.4651077516,-837.4182077516161
4.765,219960.5,221153.54217482236,-1193.0421748223598
4.785,219405.6406,220409.6944197856,-1004.0538197855931
4.805,218561.4063,219672.82991336734,-1111.4236133673403
4.825,218176.1563,218942.8582538363,-766.7019538363093
4.845,217968.3281,218219.69053547562,-251.36243547560298
4.865,216332.0469,217503.23931783251,-1171.192417832528
4.885,216073.25,216793.4185957229,-720.1685957229056
4.905,216010.875,216090.14376997,-79.26876996998908
4.925,214514.2344,215393.33161885623,-879.0972188562446
4.945,213880.6406,214702.9002702674,-822.2596702673764
4.965,213678.0156,214018.76917451053,-340.7535745105124
4.985,213440.6719,213340.85907778557,99.81282221441506
5.005,213054.9063,212669.0919962938,385.81430370619637
5.025,212611.2188,212003.39119096374,607.8276090362633
5.045,211511.9375,211343.68114277913,168.25635722087463
5.065,210722.6094,210689.88752869068,32.721871309302514
5.085,209881.7031,210041.93719809654,-160.23409809652367
5.105,209840.2969,209399.75814987574,440.53875012425124
5.125,208310.9844,208763.2795099594,-452.29510995940655
5.145,208083.6094,208132.4315094247,-48.822109424712835
5.165,208191.1719,207507.14546309825,684.0264369017386
5.185,206432.1406,206887.35374865442,-455.21314865440945
5.205,206684.9063,206272.98978619557,411.91651380443363
5.225,205571.2813,205663.98801830134,-92.70671830134233
5.245,205102.7813,205060.28389053405,42.49740946595557
5.265,204596.8594,204461.81383238934,135.04556761065032
5.285,203878.5,203868.5152386778,9.984761322208215
5.305,203326.6563,203280.32645132954,46.32984867045889
5.325,203287.0156,202697.18674160718,589.828858392837
5.345,202204.4844,202119.03629271933,85.44810728065204
5.365,201465.8125,201545.81618282254,-80.00368282254203
5.385,201414.0781,200977.46836840166,436.60973159834975
5.405,201185.0,200413.93566801993,771.0643319800729
5.425,200699.6406,199855.16174642803,844.4788535719854
5.445,199580.5156,199301.09109902327,279.42450097674737
5.465,198114.1406,198751.66903665045,-637.5284366504347
5.485,198978.7656,198206.84167073475,771.9239292652637
5.505,197884.625,197666.55589873932,218.06910126068396
5.525,197655.625,197130.75938993786,524.8656100621447
5.545,196309.375,196599.40057149596,-290.02557149596396
5.565,196028.9375,196072.42861485202,-43.491114852018654
5.585,195823.5781,195549.79342239109,273.7846776089282
5.605,194994.1094,195031.44561440367,-37.33621440368006
5.625,195406.1719,194517.3365163233,888.835383676691
5.645,194874.2656,194007.4181462347,866.8474537653092
5.665,194682.6719,193501.6432026472,1181.0286973527982
5.685,193779.3125,192999.96505252604,779.3474474739633
5.705,192787.0625,192502.3377195749,284.7247804251092
5.725,193617.5469,192008.715872765,1608.8310272349918
5.745,192387.9219,191519.05481510295,868.867084897036
5.765,191852.9844,191033.31047263302,819.6739273669664
5.785,190627.375,190551.43938366688,75.93561633312493
5.805,190947.4688,190073.3986882368,874.0701117631979
5.825,190356.0469,189599.14611776522,756.900782234763
5.845,189788.1563,189128.63998494737,659.516315052635
5.865,188131.5156,188661.83917383986,-530.3235738398507
5.885,189130.7031,188198.70313015243,931.9999698475876
5.905,188598.8281,187739.19185173605,859.636248263967
5.925,187700.0781,187283.26587926433,416.81222073567915
5.945,187407.2031,186830.88628710262,576.3168128973921
5.965,186490.6094,186382.01467436115,108.59472563883173
5.985,186115.0156,185936.6131561271,178.40244387291023
6.005,186387.3594,185494.64435487238,892.7150451276102
6.025,185066.7969,185056.07139203217,10.725507967814337
6.045,185166.9375,184620.85787975087,546.0796202491329
6.065,184691.1094,184188.96791279112,502.1414872088644
6.085,183902.7969,183760.36606060277,142.43083939721691
6.105,184078.8281,183335.01735954717,743.8107404528419
6.125,183851.2188,182912.88730527437,938.3314947256295
6.145,183466.3125,182493.94184524883,972.3706547511683
6.165,182967.0469,182078.1473714208,888.8995285791752
6.185,182849.7031,181665.47071303977,1184.2323869602405
6.205,181996.5156,181255.87912960676,740.6364703932486
6.225,181197.7656,180849.34030396305,348.4252960369631
6.245,180344.8438,180445.8223355109,-100.97853551089065
6.265,180791.625,180045.29373356482,746.3312664351834
6.285,179968.75,179647.7234108293,321.0265891707095
6.305,179149.7031,179253.080677001,-103.3775770009961
6.325,179575.3438,178861.33523249222,714.0085675077862
6.345,178838.5,178472.45716227285,366.0428377271455
6.365,178301.0625,178086.4169298288,214.64557017121115
6.385,177717.0469,177703.18537123385,13.86152876613778
6.405,176840.1094,177322.73368933224,-482.62428933224874
6.425,177312.5938,176945.03344803042,367.5603519695869
6.445,176685.9063,176570.05656669478,115.84973330522189
6.465,176913.6094,176197.77531465344,715.8340853465488
6.485,176190.0156,175828.16230579963,361.85329420038033
6.505,175285.0156,175461.190493295,-176.17489329498494
6.525,174576.8438,175096.83316436992,-519.9893643699179
6.545,175271.9375,174735.06393521943,536.8735647805734
6.565,174616.4063,174375.85674599215,240.54955400785548
6.585,174132.9531,174019.18585587104,113.76724412897602
6.605,173639.7656,173665.02583824276,-25.26023824274307
6.625,173342.9844,173313.35157595552,29.632824044470908
6.645,172413.375,172964.1382566615,-550.7632566615066
6.665,172100.8594,172617.36136824396,-516.5019682439743
6.685,172053.625,172272.99669432608,-219.37169432608061
6.705,172422.5,171931.0203098601,491.4796901399095
6.725,171788.1563,171591.40857679534,196.74772320466582
6.745,171373.6094,171254.1381398235,119.47126017647679
6.765,170392.9688,170919.18592219873,-526.2171221987228
6.785,170725.0625,170586.52912163213,138.53337836786523
6.805,170336.5,170256.14520625927,80.35479374072747
6.825,169474.0781,169928.01191067684,-453.9338106768264
6.845,169674.0156,169602.10723205068,71.9083679493342
6.865,169027.0313,169278.40942629075,-251.37812629074324
6.885,169090.7969,168956.89700429302,133.8998957069707
6.905,168341.4844,168637.54872824674,-296.06432824674994
6.925,168061.9219,168320.34360800567,-258.4217080056842
6.945,167915.6563,168005.26089752195,-89.60459752194583
6.965,168129.2813,167692.28009134156,437.00120865844656
6.985,168064.6563,167381.38092115975,683.2753788402479
7.005,166305.7656,167072.54335243572,-766.777752435708
7.025,166797.7656,166765.74758106493,32.01801893507945
7.045,166351.7656,166460.97403010822,-109.20843010820681
7.065,166174.625,166158.20334657648,16.421653423516545
7.085,166558.125,165857.41639826974,700.7086017302645
7.105,165227.1406,165558.59427066954,-331.45367066952167
7.125,165130.1563,165261.7182638839,-131.561963883898
7.145,165106.9688,164966.76988964344,140.19891035655746
7.165,164911.4844,164673.73086834777,237.75353165221168
7.185,163954.7813,164382.58312616113,-427.8018261611287
7.205,163955.2656,164093.30879215675,-138.04319215673604
7.225,163343.625,163805.89019550834,-462.265195508342
7.245,162776.5,163520.3098627282,-743.8098627282016
7.265,162016.7969,163236.55051495088,-1219.753614950896
7.285,162484.375,162954.59506526156,-470.22006526155747
7.305,162877.9688,162674.42661606855,203.5421839314513
7.325,162135.25,162396.0284565187,-260.7784565186885
7.345,161535.7656,162119.38405995484,-583.6184599548287
7.365,161793.8281,161844.4770814148,-50.648981414793525
7.385,161586.7031,161571.29135517127,15.411744828743394
7.405,161078.9375,161299.81089231124,-220.87339231124497
7.425,161000.0156,161030.0198783548,-30.00427835478331
7.445,160721.3594,160761.9026709118,-40.54327091181767
7.465,160345.2344,160495.44379737697,-150.20939737698063
7.485,159772.6719,160230.62795266145,-457.95605266146595
7.505,158633.5625,159967.4399969607,-1333.8774969606893
7.525,158940.2344,159705.86495355796,-765.630553557974
7.545,158933.875,159445.88800666295,-512.0130066629499
7.565,158665.6719,159187.49449928422,-521.8225992842345
7.585,158831.25,158930.6699311361,-99.41993113610079
7.605,158615.7656,158675.39995657766,-59.63435657764785
7.625,158756.7813,158421.67038258482,335.11091741517885
7.645,157457.9219,158169.46716675392,-711.5452667539357
7.665,157590.6563,157918.77641533694,-328.12011533693294
7.685,156961.0938,157669.5843813068,-708.4905813068035
7.705,156274.3438,157421.8774624533,-1147.5336624532938
7.725,155826.0625,157175.64219950855,-1349.5796995085548
7.745,156549.0469,156930.86527430115,-381.8183743011614
7.765,155641.4063,156687.5335079393,-1046.1272079393093
7.785,155130.25,156445.63385902176,-1315.3838590217638
7.805,155425.1094,156205.1534218759,-780.0440218759177
7.825,155766.75,155966.07942482363,-199.32942482363433
7.845,155284.2344,155728.39922847302,-444.1648284730327
7.865,154703.5469,155492.10032403664,-788.5534240366542
7.885,154369.2188,155257.17033167504,-887.951531675033
7.905,154227.1094,155023.59699886528,-796.487598865293
7.925,154021.3438,154791.3681987949,-770.0243987948925
7.945,154835.6719,154560.47192877939,275.1999712206016
7.965,153790.3125,154330.8963087037,-540.5838087036973
7.985,153434.0313,154102.62957948746,-668.5982794874581
8.005,153248.0938,153875.6601015728,-627.566301572806
8.025,154112.0156,153649.97635343517,462.0392465648474
8.045,152658.4688,153425.56693011583,-767.0981301158317
8.065,152086.3438,153202.42054177704,-1116.0767417770403
8.085,152665.1406,152980.5260122775,-315.3854122774792
8.105,153029.3125,152759.8722777705,269.4402222294884
8.125,152135.25,152540.44838532078,-405.19838532077847
8.145,152192.0,152322.24349154346,-130.2434915434569
8.165,151907.0625,152105.24686126225,-198.18436126224697
8.185,152305.9844,151889.4478661873,416.53653381267213
8.205,151134.6719,151674.8359836127,-540.1640836127044
8.225,152123.7031,151461.40079513236,662.302304867655
8.245,151204.0,151249.13198537548,-45.131985375483055
8.265,150326.0469,151038.0193407596,-711.9724407596223
8.285,150351.4688,150828.05274826227,-476.5839482622687
8.305,150828.9375,150619.22219420987,209.71530579013051
8.325,150709.1875,150411.5177630846,297.6697369154135
8.345,149614.4688,150204.9296363479,-590.460836347891
8.365,149889.4219,149999.44809128146,-110.0261912814749
8.385,149294.8594,149795.06349984414,-500.20409984415164
8.405,149295.4688,149591.76632754586,-296.29752754585934
8.425,149596.6094,149389.54713233677,207.06226766321925
8.445,149340.4531,149188.3965635131,152.05653648692532
8.465,148968.5,148988.30536063775,-19.80536063775071
8.485,148462.8438,148789.26435247657,-326.4205524765712
8.505,148495.9688,148591.2644559495,-95.29565594950691
8.525,148607.6406,148394.2966750964,213.34392490360187
8.545,148629.2188,148198.35210005793,430.8666999420675
8.565,148338.4219,148003.42190606956,334.99999393042526
8.585,148484.875,147809.49735247108,675.3776475289196
8.605,146576.5156,147616.5697817288,-1040.054181728774
8.625,147907.9688,147424.6306184719,483.33818152808817
8.645,147915.0469,147233.67136854195,681.375531458034
8.665,147523.5156,147043.68361805583,479.8319819441822
8.685,147381.4063,146854.65903248117,526.7472675188328
8.705,147035.7344,146666.58935572498,369.1450442750065
8.725,146169.8281,146479.4664092347,-309.63830923469504
8.745,147052.4844,146293.28209111126,759.2023088887217
8.765,146646.2188,146108.0283752348,538.1904247651983
8.785,146602.25,145923.69731040185,678.5526895981457
8.805,145705.8438,145740.28101947473,-34.43721947472659
8.825,146968.9063,145557.77169854203,1411.1346014579758
8.845,145071.5938,145376.16161609083,-304.5678160908283
8.865,145873.3906,145195.44311219023,677.9474878097826
8.885,145346.1406,145015.60859768535,330.53200231466326
8.905,145391.7188,144836.65055340267,555.0682465973368
8.925,145461.3281,144658.561529366,802.7665706340049
8.945,145790.1094,144481.33414402299,1308.7752559770015
8.965,145146.0156,144304.96108348144,841.0545165185758
8.985,144368.25,144129.43510075682,238.81489924318157
9.005,144513.625,143954.74901502905,558.8759849709459
9.025,143769.0156,143780.89571090927,-11.880110909260111
9.045,144333.8281,143607.86813771637,725.9599622836395
9.065,144016.0469,143435.6593087636,580.3875912363874
9.085,144568.6875,143264.2623006537,1304.4251993462967
9.105,143499.3906,143093.6702525841,405.7203474159178
9.125,143346.0156,142923.87636566084,422.1392343391781
9.145,143462.5781,142754.8739022215,707.704197778512
9.165,142827.5,142586.6561851673,240.84381483271136
9.185,142613.8125,142419.21659730357,194.5959026964265
9.205,142380.5938,142252.54858068912,128.04521931087947
9.225,143759.7344,142086.6456359938,1673.0887640061846
9.245,141918.2188,141921.50132186443,-3.2825218644284178
9.265,141664.9844,141757.1092542994,-92.12485429941444
9.285,141871.5,141593.46310603057,278.0368939694308
9.305,141919.6563,141430.55660591385,489.09969408615143
9.325,141109.7031,141268.3835383272,-158.6804383271956
9.345,141596.7656,141106.9377425765,489.8278574235155
9.365,141476.4219,140946.21311230902,530.2087876909645
9.385,142331.0625,140786.2035949347,1544.85890506531
9.405,142046.625,140626.9031910538,1419.7218089461967
9.425,141700.5625,140468.3059538934,1232.256546106597
9.445,141819.5,140310.40598874947,1509.094011250534
9.465,141486.625,140153.19745243728,1333.4275475627219
9.485,141667.125,139996.67455274792,1670.4504472520784
9.505,141304.4531,139840.83154791224,1463.621552087774
9.525,140394.2188,139685.662746071,708.5560539290018
9.545,140899.2656,139531.16250475222,1368.1030952477886
9.565,140381.2188,139377.3252303548,1003.8935696452099
9.585,140369.25,139224.14537763855,1145.104622361454
9.605,140306.9375,139071.6174492208,1235.3200507792062
9.625,140426.3125,138919.7359950791,1506.5765049209003
9.645,139370.8906,138768.49561206036,602.3949879396532
9.665,140100.4063,138617.89094339564,1482.515356604359
9.685,139831.5625,138467.9166782214,1363.6458217785985
9.705,139273.0,138318.56755110648,954.4324488935235
9.725,139986.0313,138169.83834158487,1816.1929584151367
9.745,138907.9063,138021.7238736943,886.1824263056915
9.765,139423.625,137874.21901552074,1549.4059844792646
9.785,139899.7188,137727.31867874766,2172.4001212523435
9.805,138636.6875,137581.01781821199,1055.6696817880147
9.825,138591.1406,137435.31143146462,1155.8291685353906
9.845,138616.25,137290.1945583365,1326.0554416635132
9.865,138761.2969,137145.66228051018,1615.634619489807
9.885,138038.5625,137001.70972109627,1036.8527789037325
9.905,138633.8594,136858.33204421552,1775.527355784463
9.925,138499.2188,136715.524454585,1783.6943454150169
9.945,138415.9844,136573.28219711068,1842.7022028893116
9.965,138060.5625,136431.6005564835,1628.9619435165077
9.985,137532.5938,136290.4748567811,1242.1189432188985
10.005,137817.9219,136149.9004610743,1668.0214389256726
10.025,137302.7656,136009.87277103812,1292.8928289618925
10.045,137245.4844,135870.3872265672,1375.0971734327904
10.065,137636.1563,135731.43930539634,1904.7169946036593
10.085,137303.9375,135593.02452272523,1710.9129772747692
10.105,137818.7188,135455.13843084764,2363.5803691523615
10.125,137279.5625,135317.77661878508,1961.7858812149207
10.145,137306.5625,135180.93471192484,2125.6277880751586
10.165,137320.1406,135044.60837166203,2275.532228337979
10.185,136443.1406,134908.79329504634,1534.3473049536697
10.205,136472.0469,134773.4852144325,1698.561685567489
10.225,137326.3906,134638.6798971349,2687.7107028651226
10.245,136865.5469,134504.37314508643,2361.173754913558
10.265,136594.8438,134370.56079450148,2224.2830054985243
10.285,136344.2344,134237.23871554222,2106.995684457768
10.305,136377.2188,134104.40281198933,2272.8159880106687
10.325,135949.3594,133972.04902091657,1977.3103790834139
10.345,135620.5469,133840.17331236863,1780.3735876313585
10.365,136144.2656,133708.77168904338,2435.493910956633
10.385,136325.5469,133577.8401859772,2747.706714022788
10.405,135451.6719,133447.37487023408,2004.2970297659049
10.425,135999.25,133317.3718405989,2681.8781594010943
10.445,136583.5625,133187.8272272731,3395.735272726888
10.465,135350.1406,133058.73719157506,2291.403408424958
10.485,135882.9688,132930.09792564277,2952.870874357235
10.505,135365.9375,132801.90565214088,2564.0318478591216
10.525,135422.5156,132674.1566239705,2748.3589760295
10.545,135088.4688,132546.8471239824,2541.6216760175885
10.565,135266.9688,132419.97346469373,2846.995335306274
10.585,134699.7656,132293.53198800748,2406.233611992531
10.605,134432.1406,132167.51906493565,2264.6215350643615
10.625,135357.4844,132041.93109532504,3315.553304674948
10.645,134555.3906,131916.76450758651,2638.6260924134986
10.665,134412.2188,131792.0157584272,2620.203041572793
10.685,134394.8906,131667.6813325857,2727.2092674143205
10.705,133823.0469,131543.75774256993,2279.2891574300593
10.725,134694.0313,131420.24152839865,3273.789771601354
10.745,133339.0469,131297.12925734505,2041.9176426549384
10.765,134452.2969,131174.41752368372,3277.8793763162685
10.785,135041.7344,131052.10294844047,3989.631451559515
10.805,134396.0469,130930.18217914437,3465.8647208556213
10.825,134028.8438,130808.65188958327,3220.191910416732
10.845,134083.2813,130687.50877956138,3395.7725204386225
10.865,133580.9844,130566.74957466012,3014.234825339867
10.885,133368.5,130446.37102600101,2922.128973998988
10.905,133750.6875,130326.36991001174,3424.3175899882626
10.925,132966.1406,130206.74302819424,2759.3975718057773
10.945,132962.1563,130087.48720689586,2874.6690931041376
10.965,133389.3906,129968.59929708262,3420.791302917394
10.985,132633.1719,129850.0761741152,2783.095725884792
11.005,133022.7031,129731.91473752705,3290.7883624729584
11.025,132695.2813,129614.11191080553,3081.169389194474
11.045,132086.9375,129496.6646411747,2590.272858825294
11.065,132171.9219,129379.56989938086,2792.3520006191247
11.085,131976.8438,129262.82467948044,2714.019120519559
11.105,131439.4688,129146.42599863005,2293.0428013699566
11.125,131141.8438,129030.37089687889,2111.4729031211173
11.145,131680.9063,128914.65643696318,2766.249863036821
11.165,131337.9531,128799.27970410319,2538.6733958968252
11.185,131233.5,128684.237805802,2549.2621941980033
11.205,131210.7813,128569.52787164682,2641.253428353186
11.225,130907.6719,128455.14705311213,2452.524846887871
11.245,131123.5,128341.09252336514,2782.407476634864
11.265,130706.4453,128227.36147707302,2479.0838229269866
11.285,130462.8438,128113.9511302127,2348.8926697872957
11.305,130999.5703,128000.85871988206,2998.711580117946
11.325,130601.2969,127888.0815041137,2713.2153958863055
11.345,130738.4688,127775.6167616901,2962.8520383099094
11.365,130660.0938,127663.46179196141,2996.632008038592
11.385,130112.5156,127551.61391466447,2560.901685335528
11.405,129857.9219,127440.07046974429,2417.851430255716
11.425,130070.2734,127328.82881717701,2741.4445828229946
11.445,130160.9688,127217.88633679498,2943.0824632050208
11.465,129540.2422,127107.24042811354,2433.0017718864547
11.485,129800.1406,126996.88851015958,2803.252089840418
11.505,130100.0938,126886.82802130209,3213.2657786979107
11.525,129713.4219,126777.05641908433,2936.3654809156724
11.545,129565.1172,126667.57118005736,2897.5460199426307
11.565,129803.2969,126558.36979961631,3244.927100383691
11.585,129544.8516,126449.44979183724,3095.4018081627582
11.605,130073.0156,126340.80868931637,3732.206910683628
11.625,129144.5,126232.44404301072,2912.0559569892794
11.645,129739.6875,126124.35342208041,3615.334077919586
11.665,129296.3203,126016.53441373272,3279.7858862672874
11.685,128754.0938,125908.98462306755,2845.1091769324557
11.705,129428.5156,125801.70167292454,3626.813927075462
11.725,129201.6172,125694.68320373172,3506.9339962682716
11.745,128350.2969,125587.9268733561,2762.3700266438973
11.765,129297.2188,125481.43035695497,3815.788443045036
11.785,128399.5156,125375.19134682945,3024.3242531705473
11.805,128436.9922,125269.20755227924,3167.7846477207495
11.825,128863.0156,125163.47669945887,3699.538900541127
11.845,129152.8984,125057.99653123536,4094.9018687646458
11.865,128288.8984,124952.76480704737,3336.1335929526394
11.885,128792.875,124847.77930276582,3945.095697234181
11.905,128301.5,124743.03781055578,3558.4621894442244
11.925,128057.0469,124638.53813873994,3418.508761260062
11.945,128117.6875,124534.27811166317,3583.409388336833
11.965,127299.1719,124430.25556955891,2868.9163304410904
11.985,127578.6094,124326.46836841623,3252.141031583771
12.005,127521.375,124222.91437984888,3298.4606201511197
12.025,128049.2969,124119.59149096516,3929.7054090348392
12.045,127454.7656,124016.49760423948,3438.267995760514
12.065,127892.4453,123913.63063738478,3978.81466261523
12.085,127204.4219,123810.98852322655,3393.4333767734497
12.105,127730.6484,123708.56920957807,4022.079190421937
12.125,126921.4219,123606.37065911663,3315.0512408833747
12.145,127567.3906,123504.39084926121,4062.999750738789
12.165,126436.4375,123402.62777205135,3033.8097279486537
12.185,126766.6172,123301.0794340271,3465.5377659728983
12.205,127234.9688,123199.7438561102,4035.2249438897998
12.225,127408.5625,123098.61907348657,4309.943426513433
12.245,126503.7656,122997.70313548956,3506.06246451044
12.265,126405.4453,122896.9941054849,3508.4511945151025
12.285,126787.5938,122796.49006075627,3991.1037392437283
12.305,125847.5703,122696.18909239226,3151.3812076077447
12.325,126594.1406,122596.08930517445,3998.051294825549
12.345,126476.0469,122496.18881746627,3979.8580825337267
12.365,126157.625,122396.4857611034,3761.139238896605
12.385,125268.1172,122296.97828128481,2971.13891871518
12.405,125876.1484,122197.66453646518,3678.483863534828
12.425,125665.7109,122098.54269824809,3567.1682017519197
12.445,126281.7969,121999.61095128043,4282.185948719576
12.465,125769.375,121900.86749314776,3868.507506852242
12.485,125937.125,121802.31053427067,4134.814465729331
12.505,125454.0,121703.93829780209,3750.0617021979124
12.525,125479.4219,121605.74901952574,3873.6728804742597
12.545,125358.5469,121507.74094775537,3850.8059522446274
12.565,125472.8438,121409.91234323505,4062.9314567649562
12.585,124460.6406,121312.26147904037,3148.379120959624
12.605,125001.3906,121214.78664048076,3786.6039595192415
12.625,125278.2969,121117.4861250023,4160.810774997706
12.645,124856.4531,121020.35824209204,3836.094857907956
12.665,124780.5469,120923.40131318272,3857.145586817278
12.685,125203.7969,120826.61367155878,4377.183228441223
12.705,125132.2891,120729.99366226293,4402.2954377370625
12.725,124593.2656,120633.53964200371,3959.7259579962847
12.745,125043.1484,120537.24997906423,4505.898420935773
12.765,123982.9219,120441.12305321103,3541.7988467889663
12.785,123903.7969,120345.1572556048,3558.6396443951962
12.805,124187.6172,120249.35098871103,3938.2662112889666
12.825,123760.7656,120153.7026662119,3607.0629337880964
12.845,123963.4844,120058.21071291914,3905.2736870808585
12.865,124019.3438,119962.87356468735,4056.4702353126486
12.885,123714.5156,119867.68966832836,3846.825931671643
12.905,123881.2891,119772.6574815263,4108.631618473693
12.925,122912.2031,119677.77547275355,3234.4276272464485
12.945,123147.5781,119583.0421211872,3564.535978812797
12.965,122880.5391,119488.45591662684,3392.08318337315
12.985,122781.1016,119394.01535941243,3387.086240587567
13.005,123237.7188,119299.71896034334,3937.999839656666
13.025,122066.8281,119205.56524059815,2861.262859401846
13.045,122272.0391,119111.55273165497,3160.486368345024
13.065,122189.8438,119017.67997521264,3172.1638247873634
13.085,123112.7656,118923.94552311266,4188.820076887336
13.105,122610.4141,118830.34793726173,3780.066162738265
13.125,122453.25,118736.88578955515,3716.364210444852
13.145,122721.8203,118643.55766180067,4078.2626381993323
13.165,122106.4219,118550.3621456434,3556.0597543565964
13.185,123281.3125,118457.29784249107,4824.014657508931
13.205,122138.6406,118364.36336344013,3774.277236559865
13.225,121958.75,118271.55732920258,3687.19267079742
13.245,122434.0859,118178.87837003305,4255.207529966952
13.265,122477.5781,118086.32512565737,4391.252974342628
13.285,122004.0625,117993.8962452008,4010.166254799202
13.305,121903.375,117901.59038711773,4001.784612882271
13.325,121573.4922,117809.40621912143,3764.085980878561
13.345,122021.9141,117717.34241811483,4304.571681885165
13.365,121648.6172,117625.39767012166,4023.2195298783336
13.385,121646.125,117533.57067021835,4112.5543297816475
13.405,121642.0,117441.86012246646,4200.13987753354
13.425,121601.0859,117350.26473984588,4250.821160154126
13.445,121177.0156,117258.7832441883,3918.232355811706
13.465,121113.4141,117167.41436611162,3945.9997338883695
13.485,120230.1719,117076.15684495473,3154.015055045267
13.505,120597.2969,116985.00942871299,3612.2874712870107
13.525,120695.0469,116893.9708739742,3801.0760260257957
13.545,120113.5938,116803.03994585498,3310.5538541450223
13.565,120283.2422,116712.21541793838,3571.0267820616136
13.585,120713.6953,116621.49607221094,4092.1992277890677
13.605,120178.7734,116530.88069900137,3647.8927009986364
13.625,119224.4219,116440.3680969193,2784.0538030807074
13.645,119764.2969,116349.95707279415,3414.339827205855
13.665,119904.4141,116259.64644161573,3644.7676583842695
13.685,119140.5938,116169.43502647373,2971.158773526273
13.705,119417.0938,116079.32165849944,3337.7721415005653
13.725,119338.1172,115989.30517680662,3348.8120231933717
13.745,119208.0234,115899.38442843355,3308.6389715664554
13.765,119361.1641,115809.55826828568,3551.605831714318
13.785,119024.6172,115719.82555907824,3304.791640921758
13.805,119061.3125,115630.1851712798,3431.1273287202057
13.825,119189.2422,115540.63598305637,3648.606216943619
13.845,118539.1953,115451.17688021541,3088.0184197845956
13.865,118545.4688,115361.80675615105,3183.662043848948
13.885,118417.0938,115272.52451178945,3144.5692882105504
13.905,118459.8438,115183.32905553434,3276.5147444656614
13.925,117752.8438,115094.21930321358,2658.6244967864186
13.945,118632.3125,115005.19417802585,3627.1183219741506
13.965,118258.0859,114916.25261048786,3341.833289512142
13.985,117891.2891,114827.39353838206,3063.89556161793
14.005,118178.1094,114738.61590670468,3439.4934932953183
14.025,117938.5469,114649.91866761431,3288.6282323856867
14.045,118401.0156,114561.30078038115,3839.71481961885
14.065,117471.125,114472.76121133589,2998.363788664108
14.085,118150.5625,114384.29893382025,3766.263566179754
14.105,117739.6875,114295.91292813678,3443.7745718632214
14.125,117401.2031,114207.60218149977,3193.600918500233
14.145,117350.5469,114119.36568798644,3231.1812120135583
14.165,116759.0703,114031.20244848833,2727.867851511677
14.185,117547.6484,113943.11147066341,3604.5369293365948
14.205,116780.5703,113855.09176888838,2925.4785311116284
14.225,117306.2656,113767.14236421141,3539.123235788589
14.245,116557.2891,113679.26228430543,2878.0268156945676
14.265,116525.3984,113591.45056342144,2933.9478365785617
14.285,116208.0469,113503.70624234277,2704.3406576572306
14.305,115872.8203,113416.02836833922,2456.7919316607877
14.325,115698.8594,113328.41599512185,2370.443404878155
14.345,116285.9688,113240.86818279796,3045.1006172020425
14.365,116675.6875,113153.3839978268,3522.3035021732067
14.385,116506.25,113065.96251297514,3440.2874870248634
14.405,116626.4219,112978.60280727371,3647.8190927262913
14.425,115276.9688,112891.30396597361,2385.664834026393
14.445,115915.5156,112804.06508050338,3111.4505194966187
14.465,116071.3359,112716.88524842626,3354.450651573745
14.485,116001.0469,112629.76357339762,3371.283326602381
14.505,115071.3203,112542.69916512344,2528.6211348765646
14.525,115301.625,112455.69113931809,2845.9338606819074
14.545,116246.4141,112368.73861766343,3877.6754823365627
14.565,115835.2188,112281.84072776776,3553.378072232241
14.585,115349.1406,112194.996603125,3154.1439968750055
