Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,261923.1875,263401.609666841,-1478.4221668409882
4.725,260919.3125,262629.90037472383,-1710.5878747238312
4.745,260381.1406,261862.3793966067,-1481.238796606689
4.765,258392.8125,261099.00703419308,-2706.194534193084
4.785,258796.7031,260339.74422254332,-1543.0411225433054
4.805,257772.0625,259584.5525168934,-1812.4900168933964
4.825,257861.1719,258833.3940798015,-972.2221798015235
4.845,257113.9219,258086.23166861344,-972.309768613457
4.865,257127.4688,257343.02862323614,-215.55982323613716
4.885,255835.0625,256603.74885421252,-768.6863542125211
4.905,255703.3281,255868.35683108776,-165.02873108774656
4.925,254093.2656,255136.81757105875,-1043.5519710587396
4.945,253833.25,254409.09662789945,-575.8466278994456
4.965,253494.0,253685.16008115376,-191.16008115376462
4.985,253306.2813,252964.97452558804,341.30677441196167
5.005,252039.3438,252248.50706089765,-209.16326089765062
5.025,252184.5,251535.7252816579,648.774718342087
5.045,251084.8906,250826.5972675153,258.2933324847254
5.065,250437.2969,250121.09157361023,316.2053263897542
5.085,249724.8438,249419.17722122624,305.6665787737584
5.105,249139.9844,248720.82368865894,419.16071134104277
5.125,247971.8438,248026.00090229863,-54.1571022986318
5.145,246680.1719,247334.67922792098,-654.5073279209901
5.165,246840.2188,246646.8294621801,193.38933781991364
5.185,246143.75,245962.42282429835,181.32717570164823
5.205,245267.2344,245281.43094794796,-14.19654794796952
5.225,244183.8594,244603.82587331888,-419.96647331889835
5.245,243952.5938,243929.5800393683,23.01376063170028
5.265,243349.5625,243258.66627624648,90.8962237535161
5.285,242662.6875,242591.0577978952,71.62970210480853
5.305,241970.0781,241926.72819481292,43.34990518708946
5.325,241316.1094,241265.65142698324,50.45797301674611
5.345,240423.1875,240607.80181696272,-184.61431696271757
5.365,240377.875,239953.1540431218,424.72095687821275
5.385,239373.2031,239301.68313303843,71.51996696158312
5.405,238667.7969,238653.36445703628,14.432442963705398
5.425,238126.8125,238008.17372186747,118.63877813253202
5.445,238228.8906,237366.08696453352,862.8036354664946
5.465,236712.7969,236727.08054624277,-14.283646242780378
5.485,236407.1719,236091.13114649896,316.04075350103085
5.505,236282.0313,235458.21575732014,823.8155426798621
5.525,235016.9688,234828.31167758137,188.65712241863366
5.545,234067.1719,234201.39650748167,-134.2246074816794
5.565,233406.625,233577.44814312868,-170.82314312868402
5.585,233071.875,232956.44477124084,115.43022875915631
5.605,232230.5156,232338.3648639622,-107.84926396218361
5.625,231997.5469,231723.18717378873,274.35972621125984
5.645,231549.2969,231110.89072860114,438.4061713988485
5.665,230351.0,230501.45482680452,-150.45482680451823
5.685,229716.2969,229894.85903256916,-178.56213256917545
5.705,228616.3438,229291.08317117245,-674.7393711724435
5.725,229019.7656,228690.10732443805,329.6582755619602
5.745,228691.3906,228091.91182627005,599.478773729963
5.765,227585.9375,227496.4772582807,89.46024171929457
5.785,227487.2188,226903.7844455083,583.4343544917065
5.805,227356.2656,226313.81445222392,1042.451147776097
5.825,227046.0938,225726.54857782423,1319.5452221757732
5.845,225064.8594,225141.96835280923,-77.1089528092416
5.865,225017.4375,224560.05553484114,457.3819651588565
5.885,224434.875,223980.79210488533,454.08289511466864
5.905,223731.8281,223404.16026342777,327.6678365722473
5.925,222657.8281,222830.1424267708,-172.31432677077828
5.945,222554.7969,222258.72122340248,296.0756765975093
5.965,221849.2969,221689.8794904396,159.4174095603812
5.985,220857.2969,221123.60027014164,-266.30337014165707
6.005,221013.9844,220559.8668064948,454.11759350518696
6.025,219798.5469,219998.66254186374,-200.11564186375472
6.045,219829.7813,219439.9711137097,389.8101862902986
6.065,219261.5625,218883.7763513741,377.78614862589166
6.085,219090.2969,218330.06227292493,760.2346270750568
6.105,218401.5938,217778.8130820656,622.7807179343945
6.125,217821.9688,217230.01316510385,591.9556348961487
6.145,216939.8438,216683.64708798056,256.19671201944584
6.165,216492.8906,216139.6995933557,353.1910066443088
6.185,216376.2344,215598.15559775123,778.0788022487541
6.205,215496.6875,215059.00018874914,437.68731125086197
6.225,214462.0,214522.21862224332,-60.2186222433229
6.245,214879.0469,213987.79631974475,891.2505802552332
6.265,214558.3594,213455.7188657376,1102.6405342623766
6.285,214213.4219,212925.97200508666,1287.4498949133267
6.305,213100.0625,212398.54164049294,701.520859507058
6.325,212413.0156,211873.41382999887,539.6017700011434
6.345,212439.0156,211350.57478453981,1088.4408154601988
6.365,210770.8281,210830.01086554182,-59.18276554180193
6.385,210625.5313,210311.7085825651,313.8227174349013
6.405,210867.8906,209795.6545909907,1072.2360090092989
6.425,209685.0156,209281.83568975137,403.1799102486402
6.445,209482.7188,208770.23881910404,712.4799808959651
6.465,208689.6719,208260.85105844372,428.82084155626944
6.485,209201.5313,207753.65962415823,1447.8716758417722
6.505,207084.75,207248.65186752204,-163.90186752204318
6.525,207627.1563,206745.81527262917,881.3410273708287
6.545,207433.3906,206245.1374543636,1188.2531456364086
6.565,207494.1875,205746.60615640733,1747.5813435926684
6.585,205933.0938,205250.20924928455,682.8845507154474
6.605,204911.4844,204755.93472844062,155.54967155936174
6.625,204486.9375,204263.77071235736,223.16678764263634
6.645,204653.7344,203773.70544070067,880.0289592993213
6.665,204908.875,203285.72727250267,1623.1477274973295
6.685,204038.875,202799.82468437642,1239.050315623579
6.705,202711.0469,202315.98626876157,395.06063123841886
6.725,202973.4844,201834.2007322028,1139.2836677971936
6.745,202050.8906,201354.45689365736,696.4337063426501
6.765,202052.8906,200876.74368283426,1176.1469171657518
6.785,201030.5938,200401.0501385611,629.5436614388891
6.805,200365.1406,199927.3654071812,437.77519281880814
6.825,200302.3906,199455.67874097792,846.7118590220925
6.845,199908.0625,198985.97949662717,922.0830033728271
6.865,198697.375,198518.2571336765,179.11786632350413
6.885,198986.3438,198052.50121305135,933.8425869486528
6.905,198708.1406,197588.70139558645,1119.4392044135602
6.925,197748.8438,197126.84744058351,621.9963594164874
6.945,197835.375,196666.92920439292,1168.4457956070837
6.965,196933.3125,196208.9366390209,724.3758609791112
6.985,196835.0938,195752.85979075963,1082.2340092403756
7.005,195901.1094,195298.68879884144,602.4206011585484
7.025,195445.0938,194846.41389411574,598.6799058842589
7.045,194663.6875,194396.02539774883,267.6621022511681
7.065,194766.0781,193947.51371994533,818.5643800546823
7.085,193763.7188,193500.86935869118,262.8494413088192
7.105,193749.6719,193056.0828985187,693.5890014812758
7.125,192689.7188,192613.14500929168,76.57379070832394
7.145,192422.7969,192172.0464450108,250.7504549891746
7.165,192452.3281,191732.7780426398,719.5500573602039
7.185,191211.8438,191295.3307209507,-83.48692095070146
7.205,191086.0625,190859.69547938812,226.36702061188407
7.225,190171.1719,190425.8633969529,-254.69149695290253
7.245,190526.6563,189993.82563110406,532.8306688959419
7.265,189003.0469,189563.57341667885,-560.5265166788595
7.285,189536.875,189135.09806483026,401.7769351697352
7.305,188821.1094,188708.39096198292,112.71843801706564
7.325,188626.5156,188283.44356880483,343.0720311951882
7.345,188329.2031,187860.2474191972,468.95568080281373
7.365,188397.2656,187438.79411929936,958.471480700653
7.385,187114.9375,187019.07534651153,95.86215348847327
7.405,186925.2656,186601.08284853175,324.18275146826636
7.425,185863.2031,186184.80844240927,-321.60534240925335
7.445,184582.1406,185770.244013613,-1188.1034136129892
7.465,185766.4219,185357.38151511547,409.04038488451624
7.485,184395.625,184946.21296649027,-550.587966490275
7.505,184327.6094,184536.73045302497,-209.12105302498094
7.525,182900.7969,184128.926124848,-1228.1292248480022
7.545,184500.8438,183722.7921960688,778.051603931206
7.565,182766.875,183318.32094393237,-551.4459439323691
7.585,182744.3906,182915.5047079872,-171.11410798717407
7.605,181905.4219,182514.33588926535,-608.913989265362
7.625,181559.6094,182114.8069494767,-555.1975494767248
7.645,182159.1875,181716.9104102147,442.2770897852897
7.665,180607.375,181320.6388521758,-713.2638521757908
7.685,180818.7188,180925.9849143897,-107.26611438969849
7.705,180066.7969,180532.94129346265,-466.1443934626586
7.725,180453.5313,180141.5007428322,312.03055716780364
7.745,179702.1406,179751.6560720331,-49.51547203309019
7.765,178741.4844,179363.400145975,-621.9157459750131
7.785,178613.5469,178976.72588423121,-363.17898423122824
7.805,178451.0781,178591.6262603385,-140.54816033848329
7.825,177425.7031,178208.0943011069,-782.3912011068896
7.845,177602.3594,177826.1230859413,-223.76368594131782
7.865,176847.6719,177445.7057461723,-598.0338461723004
7.885,177040.1406,177066.8354643977,-26.69486439769389
7.905,176631.375,176689.50547383426,-58.13047383425874
7.925,176534.9219,176313.70905767867,221.21284232131438
7.945,175638.3594,175939.43954847846,-301.08014847847517
7.965,175175.6563,175566.6903275128,-391.03402751279646
7.985,175118.9219,175195.45482418162,-76.53292418163619
8.005,175855.6406,174825.72651540497,1029.914084595046
8.025,174541.8281,174457.49892503067,84.32917496934533
8.045,173850.375,174090.76562325103,-240.3906232510344
8.065,173194.7813,173725.52022602802,-530.7389260280179
8.085,173509.0469,173361.75639452747,147.29050547251245
8.105,172357.4219,172999.4678345613,-642.0459345613199
8.125,171670.6094,172638.6482960378,-968.0388960378186
8.145,171943.6094,172279.2915724204,-335.68217242040555
8.165,171898.2969,171921.39150019418,-23.094600194192026
8.185,170586.0156,171564.94195834032,-978.9263583403081
8.205,170181.0469,171209.9368678182,-1028.8899678182206
8.225,171282.1406,170856.3701910549,425.7704089450999
