Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,215141.8594,214865.97090653266,275.88849346732604
4.725,214697.625,214200.9903351423,496.63466485770186
4.745,215449.7344,213542.411329894,1907.3230701059802
4.765,213584.6563,212890.14964729158,694.5066527084273
4.785,212929.7344,212244.12245546994,685.6119445300428
4.805,211715.2969,211604.2483048166,111.04859518338344
4.825,211313.7813,210970.44709932405,343.3342006759485
4.845,210023.3906,210342.64006865138,-319.24946865136735
4.865,209961.4531,209720.74974087547,240.70335912454175
4.885,208979.75,209104.69991591113,-124.94991591112921
4.905,208772.75,208494.4156395818,278.33436041820096
4.925,208468.2188,207889.82317832185,578.3956216781517
4.945,207390.8125,207290.8499944927,99.96250550731202
4.965,207163.0625,206697.42472229607,465.6377777039306
4.985,206095.2813,206109.47714426616,-14.1958442661562
5.005,205514.5625,205526.93816832625,-12.37566832624725
5.025,205676.9063,204949.73980539298,727.1664946070232
5.045,204280.4688,204377.81514751285,-97.34634751285193
5.065,204744.5938,203811.0983465176,933.4954534824064
5.085,203504.4219,203249.52459318237,254.89730681761284
5.105,203473.2031,202693.03009687446,780.1730031255574
5.125,202978.1563,202141.55206567844,836.6042343215668
5.145,202735.125,201595.0286869844,1140.096313015587
5.165,201826.0938,201053.39910852796,772.6946914720465
5.185,201443.0,200516.60341986825,926.3965801317536
5.205,201327.75,199984.5826342936,1343.1673657064093
5.225,200320.375,199457.2786711424,863.0963288575877
5.245,199173.2188,198934.63433852856,238.58446147144423
5.265,199517.0625,198416.59331646078,1100.469183539215
5.285,198632.1875,197903.10014034485,729.0873596551537
5.305,198425.2188,197394.1001848594,1031.1186151406146
5.325,197795.0156,196889.53964819477,905.4759518052451
5.345,196123.2031,196389.36553664622,-266.1624366462056
5.365,196228.3125,195893.52564955095,334.78685044904705
5.385,195179.5625,195401.96856456148,-222.4060645614809
5.405,194580.5938,194914.64362324576,-334.0498232457612
5.425,194093.1563,194431.50091700567,-338.34461700567044
5.445,193754.4219,193952.49127330596,-198.0693733059743
5.465,193762.7969,193477.5662422058,285.23065779419267
5.485,192098.9688,193006.67808318435,-907.7092831843474
5.505,191379.9375,192539.77975225434,-1159.8422522543406
5.525,191411.9531,192076.824889355,-664.8717893549765
5.545,190777.5313,191617.7678060178,-840.2365060177981
5.565,190977.9375,191162.56347329845,-184.6259732984472
5.585,190381.2344,190711.16750996813,-329.933109968144
5.605,189784.0938,190263.5361709571,-479.44237095708377
5.625,189315.4531,189819.62633604577,-504.1732360457536
5.645,188819.9375,189379.39549879514,-559.4579987951438
5.665,188928.2969,188942.80175571225,-14.504855712264543
5.685,187378.1094,188509.8037956445,-1131.694395644503
5.705,187110.1875,188080.36088939672,-970.1733893967175
5.725,187127.5938,187654.43287956587,-526.8390795658634
5.745,186670.7344,187231.9801705882,-561.2457705882262
5.765,186318.5625,186812.96371899376,-494.4012189937639
5.785,184932.7188,186397.34502386255,-1464.6262238625495
5.805,184750.5469,185985.08611747847,-1234.5392174784793
5.825,185107.8594,185576.14955617557,-468.29015617558616
5.845,185219.0313,185170.49841137233,48.53288862766931
5.865,183719.3438,184768.09626078908,-1048.752460789081
5.885,184226.7031,184368.90717984497,-142.20407984495978
5.905,183957.6563,183972.8957332295,-15.239433229493443
5.925,182775.5469,183580.02696664474,-804.4800666447554
5.945,182754.1563,183190.26639871422,-436.11009871421265
5.965,182479.0313,182803.580013055,-324.54871305500274
5.985,181826.2188,182419.9342505077,-593.7154505077051
6.005,181486.5938,182039.29600152333,-552.7022015233233
6.025,180361.3438,181661.6325986999,-1300.2887986999121
6.045,180705.5469,181286.91180946908,-581.3649094690918
6.065,180147.7344,180915.10182892592,-767.3674289259361
6.085,179558.5,180546.1712728012,-987.6712728012062
6.105,180306.9219,180180.0891705711,126.83272942889016
6.125,178642.5313,179816.82495870232,-1174.2936587023141
6.145,179250.4375,179456.3484740289,-205.91097402889864
6.165,178551.75,179098.62994725796,-546.8799472579558
