Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,234808.9063,241355.98028081388,-6547.073980813875
4.725,233569.8594,240367.52362159605,-6797.66422159606
4.745,233763.2969,239389.7230050588,-5626.42610505881
4.765,233719.5469,238422.43380037096,-4702.88690037097
4.785,232473.8125,237465.51381094314,-4991.701310943143
4.805,231402.125,236518.8232237676,-5116.698223767598
4.825,231791.9531,235582.2245600175,-3790.2714600174804
4.845,230060.375,234655.5826268695,-4595.207626869495
4.865,230528.5,233738.76447051528,-3210.264470515278
4.885,229431.25,232831.6393303271,-3400.3893303271034
4.905,229089.6094,231934.07859414426,-2844.4691941442725
4.925,228330.7656,231045.95575465,-2715.1901546499867
4.945,227337.5781,230167.14636680557,-2829.5682668055524
4.965,227522.3438,229297.5280063149,-1775.1842063149088
4.985,226318.6406,228436.98022908738,-2118.3396290873643
5.005,226182.8281,227585.38453167348,-1402.5564316734672
5.025,225772.4063,226742.62431264546,-970.2180126454623
5.045,224238.7188,225908.58483489562,-1669.8660348956182
5.065,225251.9375,225083.15318882882,168.78431117118453
5.085,223301.125,224266.218256423,-965.0932564229879
5.105,221810.3281,223457.67067613467,-1647.3425761346589
5.125,223210.875,222657.40280862665,553.472191373352
5.145,221327.5156,221865.3087032938,-537.7931032937777
5.165,220276.9219,221081.28406556806,-804.3621655680763
5.185,220060.7188,220305.22622497924,-244.50742497923784
5.205,220066.2813,219537.03410395214,529.2471960478579
5.225,218469.9219,218776.6081873211,-306.6862873211212
5.245,218101.4219,218023.85049254054,77.57140745944344
5.265,217489.5,217278.6645405765,210.83545942351338
5.285,216907.0313,216540.95532745676,366.07597254324355
5.305,216251.7031,215810.62929646685,441.07380353315966
5.325,215946.3594,215087.59431097066,858.7650890293298
5.345,215452.9688,214371.75962784252,1081.2091721574834
5.365,214964.4063,213663.03587149308,1301.3704285069252
5.385,214329.625,212961.33500847386,1368.2899915261369
5.405,213509.8438,212266.57032264568,1243.2734773543198
5.425,212795.2969,211578.65639089711,1216.6405091028719
5.445,211879.5781,210897.5090593964,982.0690406036156
5.465,211125.1719,210223.0454203668,902.1264796331816
5.485,210150.9844,209555.1837893685,595.8006106315006
5.505,210282.0313,208893.8436830764,1388.1876169235911
5.525,208484.0625,208238.94579754086,245.11670245914138
5.545,208484.1094,207590.4119869179,893.697413082089
5.565,207775.2813,206948.16524265936,827.1160573406378
5.585,208132.8281,206312.12967314903,1820.698426850984
5.605,206619.5,205682.23048377523,937.2695162247692
5.625,206132.5156,205058.39395742884,1074.1216425711755
5.645,205798.2188,204440.54743541544,1357.6713645845593
5.665,205726.8594,203828.6192987715,1898.2401012284972
5.685,205530.3125,203222.538949976,2307.773550023994
5.705,203785.5156,202622.23679504567,1163.278804954345
5.725,204120.25,202027.64422600612,2092.605773993884
5.745,203492.6094,201438.69360372893,2053.9157962710597
5.765,202505.8125,200855.3182411258,1650.4942588742124
5.785,202575.2188,200277.45238669173,2297.7664133082726
5.805,200815.2344,199705.03120838816,1110.2031916118285
5.825,201595.25,199137.99077785792,2457.259222142078
5.845,201079.9063,198576.26805496475,2503.638245035254
5.865,199595.5781,198019.8008726486,1575.7772273514129
5.885,199450.5156,197468.5279220904,1981.9876779096085
5.905,198940.1875,196922.38873817737,2017.7987618226325
5.925,197607.1094,196381.32368526372,1225.7857147362665
5.945,197020.4063,195845.27394321817,1175.1323567818326
5.965,197033.0313,195314.18149375214,1718.8498062478611
5.985,196091.5781,194787.98910702232,1303.5889929776895
6.005,195982.8281,194266.64032850103,1716.1877714989823
6.025,194586.9375,193750.0794661075,836.8580338924949
6.045,195198.125,193238.25157759557,1959.873422404431
6.065,194374.1563,192731.1024581897,1643.0538418102951
6.085,193496.5,192228.57862846626,1267.9213715337391
6.105,194305.9063,191730.62732247144,2575.2789775285637
6.125,192958.1719,191237.1964760736,1720.9754239264003
6.145,192155.7031,190748.2347155415,1407.4683844585088
6.165,192461.2969,190263.69134634602,2197.6055536539643
6.185,191138.3906,189783.5163421786,1354.874257821415
6.205,191049.5469,189307.6603341823,1741.8865658176946
6.225,191147.9063,188836.07460039007,2311.831699609931
6.245,190612.125,188368.71105536638,2243.4139446336194
6.265,189548.5469,187905.5222400472,1643.024659952789
6.285,189032.6719,187446.46131177357,1586.210588226415
6.305,188646.5313,186991.4820345156,1655.049265484413
6.325,188437.5469,186540.5387692809,1897.0081307190994
6.345,187319.2344,186093.58646470564,1225.6479352943425
6.365,187651.6563,185650.58064782192,2001.0756521780859
6.385,186911.4219,185211.47741499927,1699.944485000713
6.405,186517.25,184776.23342305567,1741.0165769443265
6.425,185925.6719,184344.80588053467,1580.8660194653203
6.445,185495.0625,183917.1525391447,1577.9099608552933
6.465,184811.4063,183493.23168535778,1318.1746146422229
6.485,184748.5,183073.00213216286,1675.4978678371408
6.505,183923.2969,182656.42321097237,1266.8736890276195
6.525,183117.9063,182243.45476367656,874.4515363234386
6.545,183079.5156,181834.05713484416,1245.4584651558544
6.565,183314.1719,181428.19116406556,1885.9807359344268
6.585,182284.9375,181025.81817843518,1259.1193215648236
6.605,183109.6719,180626.89998517075,2482.771914829238
6.625,181451.1563,180231.39886436626,1219.7574356337427
6.645,181881.3438,179839.27756187538,2042.066238124622
6.665,181051.2813,179450.49928232364,1600.7820176763635
6.685,180973.75,179065.02768224574,1908.722317754262
6.705,180242.9219,178682.82686334522,1560.0950366547622
6.725,179460.4688,178303.86136587543,1156.6074341245694
6.745,178651.4219,177928.09616213728,723.3257378627022
6.765,178205.7813,177555.49665009291,650.2846499070874
6.785,177597.625,177186.02864709203,411.5963529079745
6.805,177212.5625,176819.65838370906,392.9041162909416
6.825,177591.1875,176456.3524976885,1134.8350023115054
6.845,177081.875,176096.0780279966,985.796972003387
6.865,176975.4688,175738.80240897677,1236.666391023231
6.885,176678.0625,175384.49346460705,1293.569035392953
6.905,176054.1719,175033.11940285735,1021.0524971426348
6.925,175319.0938,174684.64881014448,634.4449898555176
6.945,175606.875,174339.05064588282,1267.8243541171832
6.965,174325.0156,173996.29423712904,328.72136287097237
6.985,174161.5469,173656.34927331892,505.19762668106705
7.005,173871.7813,173319.18580109408,552.5954989059246
7.025,173529.3438,172984.77421921707,544.5695807829325
7.045,173122.8438,172653.0852735737,469.75852642630343
7.065,172593.0938,172324.09005225913,269.00374774087686
7.085,172095.4375,171997.75998074812,97.6775192518835
7.105,171400.4688,171674.06681714658,-273.59801714657806
7.125,171668.1719,171352.98264752323,315.1892524767609
7.145,172393.1719,171034.47988131887,1358.6920186811185
7.165,171237.2969,170718.531246834,518.7656531659886
7.185,170847.3438,170405.10978679016,442.23401320984703
7.205,171649.4688,170094.18885396665,1555.279946033348
7.225,169770.2188,169785.74210690876,-15.52330690875533
7.245,170297.6563,169479.74350570727,817.9127942927298
7.265,170219.9688,169176.16730784834,1043.8014921516587
7.285,169151.9531,168874.98806413036,276.96503586965264
7.305,168472.9844,168576.18061464958,-103.19621464959346
7.325,168792.8594,168279.7200848501,513.1393151498924
7.345,168419.1875,167985.58188163923,433.6056183607725
7.365,167728.5938,167693.74168956556,34.852110434439965
7.385,167099.3125,167404.1754670598,-304.86296705980203
7.405,167064.5469,167116.8594427359,-52.31254273591912
7.425,166222.1719,166831.77011175244,-609.5982117524545
7.445,166250.7188,166548.88423223203,-298.1654322320246
7.465,166237.6094,166268.17882173916,-30.569421739171958
7.485,165361.875,165989.6311538139,-627.7561538139125
7.505,165174.5938,165713.21875456098,-538.6249545609753
7.525,165071.4219,165438.91939929372,-367.497499293735
7.545,165507.6563,165166.7111092308,340.9451907692128
7.565,164469.1406,164896.57214824576,-427.43154824574594
7.585,164223.2188,164628.48101966825,-405.2622196682496
7.605,163820.75,164362.41646313466,-541.6664631346648
7.625,162584.5625,164098.35745148966,-1513.794951489661
7.645,162679.6875,163836.28318773533,-1156.595687735331
7.665,163263.375,163576.17310202867,-312.7981020286679
7.685,163220.7969,163318.0068487256,-97.20994872562005
7.705,161996.4844,163061.76430347134,-1065.2799034713535
7.725,162061.9688,162807.42556033572,-745.4567603357136
7.745,161758.1875,162554.9709289931,-796.7834289931052
7.765,162048.625,162304.38093194558,-255.75593194557587
7.785,161118.8594,162055.63630178923,-936.7769017892424
7.805,160392.4688,161808.71797852256,-1416.2491785225575
7.825,161350.5625,161563.60710689548,-213.04460689547705
7.845,160989.875,161320.28503379977,-330.4100337997661
7.865,160837.3438,161078.73330569905,-241.3895056990441
7.885,160569.0313,160838.93366609717,-269.9023660971725
7.905,160223.9375,160600.86805304608,-376.93055304608424
7.925,160235.0469,160364.51859669093,-129.47169669094728
7.945,159897.1406,160129.8676168521,-232.72701685209177
7.965,158778.2813,159896.89762064387,-1118.616320643865
7.985,158546.7813,159665.5913001291,-1118.8100001291023
8.005,158146.875,159435.93153000847,-1289.0565300084709
8.025,157865.6875,159207.90136534485,-1342.2138653448492
8.045,158428.8281,158981.48403932113,-552.655939321121
8.065,157536.4531,158756.66296103224,-1220.2098610322282
8.085,157517.9375,158533.42171330846,-1015.4842133084603
8.105,158145.6719,158311.7440505729,-166.0721505729016
8.125,156893.9219,158091.61389672855,-1197.6919967285648
8.145,157144.9375,157873.01534307847,-728.0778430784703
8.165,156529.3594,157655.9326462748,-1126.5732462748128
8.185,156006.1875,157440.35022629902,-1434.1627262990223
8.205,155883.3906,157226.25266447134,-1342.8620644713228
8.225,155905.0156,157013.62470148894,-1108.6091014889244
8.245,155480.3125,156802.45123549303,-1322.138735493034
8.265,155513.5,156592.71732016403,-1079.2173201640253
8.285,154998.8438,156384.40816284405,-1385.5643628440448
8.305,155345.8438,156177.5091226868,-831.6653226868075
8.325,154831.9375,155972.00570883387,-1140.0682088338654
8.345,155058.0156,155767.88357861745,-709.8679786174325
8.365,154357.0469,155565.12853578886,-1208.0816357888689
8.385,154766.7188,155363.7265287723,-597.0077287722961
8.405,154164.7813,155163.66364894353,-998.8823489435308
8.425,153888.9844,154964.92612893306,-1075.941728933074
8.445,153654.8594,154767.5003409538,-1112.6409409538028
8.465,153620.7969,154571.37279515178,-950.5758951517928
8.485,152896.0156,154376.53013798056,-1480.5145379805472
8.505,152602.8438,154182.959150599,-1580.1153505989932
8.525,152350.7656,153990.64674729048,-1639.8811472904636
8.545,152376.5938,153799.57997390558,-1422.9861739055777
8.565,152193.3906,153609.7460063255,-1416.355406325485
8.585,152408.2969,153421.1321489477,-1012.8352489477256
8.605,151834.1719,153233.72583319247,-1399.553933192481
8.625,152148.9688,153047.5146160298,-898.5458160298003
8.645,151723.5156,152862.48617852764,-1138.970578527631
8.665,150861.2656,152678.62832441932,-1817.3627244193049
8.685,151536.5938,152495.92897869123,-959.3351786912244
8.705,151612.7656,152314.3761861901,-701.6105861900724
8.725,151612.0156,152133.95811024916,-521.9425102491514
8.745,150969.2656,151954.66303133298,-985.3974313329672
8.765,150659.3438,151776.47934570155,-1117.1355457015452
8.785,151157.7656,151599.39556409186,-441.62996409184416
8.805,150269.9688,151423.4003104178,-1153.4315104178095
8.825,149437.6875,151248.482320488,-1810.794820487994
8.845,150278.75,151074.63044074015,-795.8804407401476
8.865,149520.2188,150901.83362699376,-1381.6148269937548
8.885,150173.3125,150730.0809432188,-556.7684432188107
8.905,149072.7656,150559.3615603209,-1486.5959603208757
8.925,149698.9844,150389.66475494363,-690.6803549436445
8.945,148941.2813,150220.97990828642,-1279.6986082864169
8.965,148585.5938,150053.29650493764,-1467.7027049376338
8.985,148958.9219,149886.60413172492,-927.6822317249316
9.005,148677.3125,149720.892476579,-1043.5799765789998
9.025,148214.875,149556.1513274138,-1341.2763274137978
9.045,148332.625,149392.37057102093,-1059.7455710209324
9.065,148155.7031,149229.54019197894,-1073.8370919789304
9.085,148280.9375,149067.650271577,-786.7127715770039
9.105,147787.7969,148906.69098675298,-1118.894086752989
9.125,148293.3281,148746.65260904442,-453.32450904441066
9.145,148094.5625,148587.52550355514,-492.96300355513813
9.165,148388.0,148429.30012793376,-41.30012793376227
9.185,148450.6875,148271.96703136593,178.72046863407013
9.205,147147.1875,148115.51685358048,-968.3293535804842
9.225,146913.0,147959.94032386763,-1046.9403238676314
9.245,146846.5469,147805.22826010996,-958.6813601099711
9.265,147286.875,147651.37156782683,-364.4965678268345
9.285,146714.2813,147498.3612392299,-784.0799392299086
9.305,147661.6094,147346.18835229188,315.4210477081069
9.325,146700.6875,147194.84406982677,-494.1565698267659
9.345,146830.0938,147044.31963858166,-214.22583858165308
9.365,146756.5625,146894.60638834094,-138.04388834093697
9.385,145965.125,146745.69573104134,-780.5707310413418
9.405,146477.9688,146597.57915989816,-119.61035989815718
9.425,146919.5625,146450.24824854336,469.3142514566425
9.445,146266.3438,146303.69465017386,-37.35085017385427
9.465,145587.7344,146157.91009671093,-570.1756967109395
9.485,145865.7344,146012.88639797032,-147.15199797032983
9.505,146042.8594,145868.61544084264,174.2439591573493
9.525,145873.5156,145725.0891884841,148.4264115159167
9.545,145773.6406,145582.29967951798,191.34092048203456
9.565,145864.4688,145440.23902724474,424.229772755265
9.585,145177.6719,145298.8994188639,-121.2275188639178
9.605,145460.2813,145158.27311470403,302.0081852959702
9.625,145615.0625,145018.35244746302,596.7100525369751
9.645,144619.0313,144879.12982145825,-260.098521458247
9.665,145276.0781,144740.5977118847,535.4803881153057
9.685,144536.5938,144602.74866408398,-66.15486408397555
9.705,143553.4531,144465.575292821,-912.1221928209998
9.725,143975.8125,144329.0702815704,-353.25778157039895
9.745,143745.1875,144193.22638181128,-448.0388818112842
9.765,143980.0781,144058.036412331,-77.95831233100034
9.785,143475.2656,143923.4932585369,-448.22765853689634
9.805,143693.4688,143789.5898717774,-96.12107177739381
9.825,143544.8438,143656.31926867054,-111.47546867054189
9.845,143742.9531,143523.67453044077,219.27856955924653
9.865,143670.9219,143391.6488022647,279.2730977352767
9.885,143372.1406,143260.23529262346,111.90530737655354
9.905,144003.2656,143129.42727266398,873.8383273360378
9.925,143030.5469,142999.21807556762,31.328824432363035
9.945,142848.9688,142869.60109592605,-20.632295926043298
9.965,143083.5156,142740.56978912523,342.94581087477854
9.985,143471.3125,142612.11767073677,859.1948292632296
10.005,142176.9688,142484.2383159159,-307.2695159158902
10.025,142834.4063,142356.92535880738,477.4809411926253
10.045,142847.7188,142230.17249195842,617.5463080415793
10.065,142238.7031,142103.97346573797,134.72963426203933
10.085,142407.8906,141978.32208776384,429.5685122361756
10.105,142726.6719,141853.21222233566,873.4596776643302
10.125,142511.5313,141728.63778987585,782.8935101241514
10.145,142303.375,141604.59276637554,698.7822336244571
10.165,142026.0156,141481.0711828483,544.9444171517098
10.185,141657.0469,141358.06712479005,298.97977520994027
10.205,142423.5156,141235.57473164506,1187.9408683549555
10.225,141920.8906,141113.58819627805,807.3024037219584
10.245,141506.5625,140992.10176445325,514.4607355467451
10.265,142233.4531,140871.10973431883,1362.343365681183
10.285,141987.75,140750.60645589736,1237.1435441026406
10.305,142234.5938,140630.5863305828,1604.0074694172072
10.325,142048.0156,140511.04381064273,1536.9717893572815
10.345,142754.6094,140391.97339872672,2362.636001273262
10.365,141955.0625,140273.3696473801,1681.69285261989
10.385,141694.5469,140155.22715856356,1539.3197414364258
10.405,142345.125,140037.5405831782,2307.5844168218027
10.425,142293.0625,139920.3046205964,2372.7578794035944
10.445,141300.6875,139803.5140181971,1497.1734818028926
10.465,140924.7656,139687.1635709076,1237.6020290924062
10.485,142632.0313,139571.24812075013,3060.7831792498764
10.505,141075.7656,139455.76255639282,1620.0030436071975
10.525,141488.0625,139340.7018127076,2147.360687292414
10.545,141732.7813,139226.0608703309,2506.720429669105
10.565,141409.0469,139111.83475523157,2297.2121447684185
10.585,140887.4688,138998.0185382817,1889.4502617183025
10.605,140548.4531,138884.60733483368,1663.8457651663339
10.625,139984.2656,138771.59630430146,1212.6692956985498
10.645,140326.8906,138658.98064974687,1667.9099502531462
10.665,140669.0156,138546.75561746964,2122.259982530377
10.685,139873.5156,138434.91649660352,1438.5991033964965
