Theta (degrees),Raw Intensity,Model Baseline,Corrected Net Intensity
4.705,229051.8906,231412.8748704655,-2360.984270465473
4.725,228292.1094,230489.35351061405,-2197.2441106140614
4.745,227266.375,229575.1232275603,-2308.7482275603106
4.765,226220.7188,228670.0622441545,-2449.3434441545105
4.785,225988.0469,227774.05082237182,-1786.003922371834
4.805,225628.7656,226886.971220875,-1258.205620875
4.825,225504.0156,226008.70765363227,-504.69205363225774
4.845,223674.2969,225139.14624956003,-1464.8493495600414
4.865,222896.6719,224278.17501316124,-1381.5031131612486
4.885,222778.4844,223425.68378613042,-647.1993861304363
4.905,222198.4375,222581.56420989826,-383.1267098982644
4.925,220918.875,221745.7096890892,-826.8346890892135
4.945,220447.5781,220918.01535586437,-470.43725586435176
4.965,220098.25,220098.37803512826,-0.12803512826212682
4.985,218326.875,219286.69621057127,-959.8212105712737
5.005,217690.6406,218482.86999152772,-792.2293915277114
5.025,217128.2031,217686.80108062425,-558.5979806242394
5.045,216618.3594,216898.39274219848,-280.03334219849785
5.065,216203.4219,216117.54977146554,85.8721285344509
5.085,215881.6406,215344.17846441237,537.4621355876443
5.105,214609.6406,214578.18658839943,31.454011600580998
5.125,213674.875,213819.48335345142,-144.60835345141822
5.145,213998.6094,213067.97938421657,930.6300157834194
5.165,211624.0781,212323.58669257857,-699.5085925785534
5.185,211587.25,211586.2186509014,1.0313490986009128
5.205,211490.3281,210855.78996589154,634.5381341084721
5.225,210859.7813,210132.2166530602,727.5646469398052
5.245,210407.3281,209415.4160117701,991.912088229903
5.265,208582.8281,208705.30660085083,-122.47850085081882
5.285,208019.0,208001.80821476752,17.191785232484108
5.305,208487.2969,207304.8418603296,1182.4550396703999
5.325,207551.9844,206614.32973392302,937.6546660769673
5.345,206411.0156,205930.19519925493,480.82040074508404
5.365,205757.2969,205252.36276559535,504.93413440464064
5.385,205178.3438,204580.758066504,597.5857334960019
5.405,205287.8594,203915.30783902944,1372.5515609705471
5.425,204053.8125,203255.9399033682,797.872596631787
5.445,203319.5156,202602.58314297206,716.9324570279568
5.465,202922.1563,201955.1674850929,966.9888149070903
5.485,201057.375,201313.62388175188,-256.24888175187516
5.505,201551.1563,200677.88429112482,873.2720088751812
5.525,200658.7969,200047.88165933086,610.9152406691283
5.545,200720.6563,199423.54990261578,1297.1063973842247
5.565,200386.7031,198804.8238899194,1581.8792100806022
5.585,198545.8438,198191.63942581747,354.2043741825328
5.605,198219.625,197583.93323382852,635.6917661714833
5.625,197734.5625,196981.6429400776,752.9195599223895
5.645,196663.8438,196384.70705730648,279.1367426935176
5.665,197037.7656,195793.0649692227,1244.7006307773117
5.685,195642.9531,195206.65691517974,436.29618482026854
5.705,195453.6094,194625.4239751781,828.1854248218879
5.725,195008.4219,194049.30805518216,959.1138448178244
5.745,194031.2031,193478.25187274275,552.951227257261
5.765,194492.25,192912.19894291932,1580.05105708068
5.785,193291.8125,192351.09356449413,940.7189355058654
5.805,192913.8281,191794.8808064718,1118.9472935282101
5.825,192395.8438,191243.50649485603,1152.3373051439703
5.845,191367.0469,190696.91719969883,670.1297003011568
5.865,191105.8438,190155.06022241394,950.7835775860585
5.885,190828.5469,189617.88358334967,1210.6633166503161
5.905,189623.25,189085.33600961347,537.9139903865289
5.925,189437.9375,188557.36692314374,880.570576856262
5.945,188945.8438,188033.92642902213,911.9173709778697
5.965,188217.1563,187514.9653040211,702.19099597889
5.985,187329.2656,187000.43498538077,328.8306146192481
6.005,187285.3438,186490.2875598105,795.0562401895004
6.025,186314.3281,185984.47575270935,329.85234729066724
6.045,186151.8438,185482.95291760037,668.8908823996317
6.065,185682.8281,184985.67302577404,697.1550742259715
6.085,184803.9219,184492.59065613613,311.33124386385316
6.105,183827.2188,184003.66098525477,-176.44218525476754
6.125,183505.0781,183518.83977760276,-13.761677602742566
6.145,183837.2031,183038.08337599057,799.119724009448
6.165,183631.4688,182561.34869218495,1070.120107815048
6.185,181928.9844,182088.5931977103,-159.6087977103016
6.205,182278.5,181619.7749148275,658.7250851725112
6.225,181357.7656,181154.85240768662,202.9131923133973
6.245,181489.2656,180693.78477365006,795.4808263499581
6.265,180313.0938,180236.53163478113,76.56216521887109
6.285,180386.625,179783.0531294959,603.5718705040927
6.305,179124.0938,179333.30990437372,-209.2161043737142
6.325,178989.5625,178887.26310612253,102.29939387747436
6.345,179500.1406,178444.8743736972,1055.2662263028033
6.365,177409.375,178006.1058305656,-596.7308305655897
6.385,178366.5469,177570.92007712004,795.6268228799454
6.405,178006.5625,177139.2801832317,867.2823167683091
6.425,177681.5938,176711.14968094326,970.444119056745
6.445,177128.4844,176286.49255729772,841.991842702264
6.465,176478.1875,175865.2732473009,612.9142526990909
6.485,175408.9688,175447.45662701342,-38.48782701342134
6.505,176089.0938,175033.00800677057,1056.0857932294311
6.525,174755.6875,174621.89312452692,133.79437547308044
6.545,175089.2031,174214.07813932255,875.1249606774654
6.565,174418.0469,173809.52962486914,608.5172751308419
6.585,174071.8906,173408.21456325246,663.6760367475508
6.605,173563.1719,173010.1003387501,553.0715612498752
6.625,172909.0625,172615.15473176006,293.90776823993656
6.645,173120.2031,172223.34591284,896.8571871599997
6.665,171484.4531,171834.64243685323,-350.18933685321826
6.685,171619.7188,171449.0132372197,170.70556278029107
6.705,171600.0469,171066.42762027067,533.6192797293188
6.725,170271.0625,170686.855259703,-415.7927597030066
6.745,170056.3906,170310.26619113295,-253.87559113293537
6.765,170420.8125,169936.63080674634,484.18169325366034
6.785,169216.6719,169565.91985004305,-349.2479500430636
6.805,169228.2656,169198.10441067454,30.16118932547397
6.825,169532.1719,168833.15591937237,699.0159806276206
6.845,168836.375,168471.0461429647,365.3288570352888
6.865,167862.3594,168111.74717948085,-249.387779480865
6.885,167299.3438,167755.23145334073,-455.88765334073105
6.905,167557.0313,167401.47171062807,155.55958937192918
6.925,167084.4688,167050.44101444536,34.02778555464465
6.945,166624.5156,166702.11274034914,-77.59714034912759
6.965,166228.3906,166356.46057186395,-128.0699718639371
6.985,166365.4375,166013.45849607338,351.9790039266227
7.005,164947.9219,165673.08079928663,-725.1588992866455
